[LOG] System::create                           : Header version = 2.02.15. Current version = 2.02.15.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20215 (134211), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x4000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 000001BC5416CE08 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 6
[LOG] SoundI::release                          :  (000001BC65B4E368)
[LOG] SoundI::release                          :     Coin_put-003 (000001BC66907508)
[LOG] SoundI::release                          :  (000001BC60AF7458)
[LOG] SoundI::release                          :     p_laugh-001 (000001BCD9AF5118)
[LOG] SoundI::release                          :  (000001BC60AF6D28)
[LOG] SoundI::release                          :     p_laugh-002 (000001BCD9AF4DD8)
[LOG] SoundI::release                          :  (000001BCDFDD49E8)
[LOG] SoundI::release                          :     p_laugh-003 (000001BCD9AF3238)
[LOG] SoundI::release                          :  (000001BCDFDD42B8)
[LOG] SoundI::release                          :     p_laugh-004 (000001BCD9AF4C38)
[LOG] SoundI::release                          :  (000001BCDFDD4E38)
[LOG] SoundI::release                          :     p_laugh-005 (000001BCD9AF45B8)
[LOG] SoundI::release                          :  (000001BCDFDD4428)
[LOG] SoundI::release                          :     p_laugh-006 (000001BCD9AF3578)
[LOG] SoundI::release                          :  (000001BCDFDD4878)
[LOG] SoundI::release                          :     p_laugh-007 (000001BCD9AF5938)
[LOG] SoundI::release                          :  (000001BC2F56B0E8)
[LOG] SoundI::release                          :     p_laugh-008 (000001BCD9AF6CB8)
[LOG] SoundI::release                          :  (000001BCDFDD4B58)
[LOG] SoundI::release                          :     victory (000001BCD9AF6978)
[LOG] SoundI::release                          :  (000001BCDFDD4708)
[LOG] SoundI::release                          :     Bass[85] D Snowfall (000001BCD9AF40D8)
[LOG] SoundI::release                          :  (000001BC60AF7178)
[LOG] SoundI::release                          :     clock (000001BCD9AF55F8)
[LOG] Thread::callback                         : FMOD Studio update thread finished.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] SystemI::close                           : Closed.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] SystemI::close                           : Closed.
[LOG] Thread::callback                         : FMOD nonblocking thread (0) finished.
[LOG] Thread::callback                         : FMOD file thread finished.
